"year","wiki_ref","wiki_query","producer","distributor","name","country","director","cinematography","editing","studio","budget","gross","runtime","music","writer","starring","language","released"
2000,"/wiki/Boiler_Room_(film)","Boiler_Room_(film)","['Jennifer Todd', 'Suzanne Todd']","['New Line Cinema']","Boiler Room","['United States']","['Ben Younger']","['Enrique Chediak']","['Enrique Chediak']","['Team Todd']","7000000","28000000","120","['The Angel']","['Ben Younger']","['Giovanni Ribisi', 'Vin Diesel', 'Nia Long', 'Nicky Katt', 'Scott Caan', 'Ben Affleck']","['English']","2000/02/18"
2000,"/wiki/Hanging_Up","Hanging_Up","['Nora Ephron', 'Laurence Mark']","['Columbia Pictures']","Hanging Up","['United States']","['Diane Keaton']","['Howard Atherton']","['Howard Atherton']","[]","40000000","51000000","94","['David Hirschfelder']","[]","['Meg Ryan', 'Diane Keaton', 'Lisa Kudrow', 'Walter Matthau', 'Adam Arkin']","['English']","2000/02/18"
2000,"/wiki/Pitch_Black_(film)","Pitch_Black_(film)","['Tom Engelman']","['USA Films']","Pitch Black","['United States']","['David Twohy']","['David Eggby']","['David Eggby']","['PolyGram Filmed Entertainment', 'Interscope Communications', 'Gramercy Pictures']","23000000","53200000","104 110","['Graeme Revell']","[]","['Vin Diesel', 'Radha Mitchell', 'Cole Hauser', 'Keith David']","['English']","2000/2/18"
2000,"/wiki/The_Whole_Nine_Yards_(film)","The_Whole_Nine_Yards_(film)","['Allan Kaufman', 'David Willis']","['Warner Bros.']","The Whole Nine Yards","['United States']","['Jonathan Lynn']","['David Franco']","['David Franco']","['Morgan Creek Productions', 'Franchise Pictures', 'Rational Packaging', 'Lansdown Films']","41300000","106400000","98","['Randy Edelman']","['Mitchell Kapner']","['Bruce Willis', 'Matthew Perry', 'Rosanna Arquette', 'Michael Clarke Duncan', 'Natasha Henstridge', 'Amanda Peet', 'Kevin Pollak']","['English', 'French', 'Spanish']","2000/02/18"
2000,"/wiki/Beautiful_People_(film)","Beautiful_People_(film)","['Ben Gibson', 'Roger Shannon', 'Ben Woolford']","['Trimark Pictures', 'Channel Four Films']","Beautiful People","['United Kingdom']","['Jasmin Dizdar']","['Barry Ackroyd']","['Barry Ackroyd']","[]","","","107","['Garry Bell', 'Ghostland', 'Jasmin Dizdar']","['Jasmin Dizdar']","['Charlotte Coleman', 'Charles Kay', 'Rosalind Ayres', 'Roger Sloman', 'Heather Tobias', 'Danny Nussbaum']","['English']","1999/5/18"
2000,"/wiki/Reindeer_Games","Reindeer_Games","['Marty Katz', 'Chris Moore', 'Chris Moore', 'Bob Weinstein']","['Miramax Films']","Reindeer Games","['United States']","['John Frankenheimer']","['Alan Caso']","['Alan Caso']","['Dimension Films']","42000000","32200000","104","['Alan Silvestri']","['Ehren Kruger']","['Ben Affleck', 'Gary Sinise', 'Charlize Theron', 'Dennis Farina', 'James Frain', 'Donal Logue', 'Clarence Williams III']","['English']","2000/02/25"
2000,"/wiki/3_Strikes_(film)","3_Strikes_(film)","['Marcus Morton']","['MGM Distribution Co.']","3 Strikes","['United States']","['DJ Pooh']","['John Simmons']","['John Simmons']","['Metro Goldwyn Mayer']","3400000","9800000","82","['Stewart Copeland']","['DJ Pooh']","['Brian Hooks', ""N'Bushe Wright"", 'Faizon Love', 'David Alan Grier']","['English']","2000/03/01"
2000,"/wiki/Drowning_Mona","Drowning_Mona","['Al Corley']","['Destination Films']","Drowning Mona","['United States']","['Nick Gomez']","['Bruce Douglas Johnson']","['Bruce Douglas Johnson']","[]","37000000","15900000","96","['Michael Tavera']","['Peter Steinfeld']","['Danny DeVito', 'Bette Midler', 'Neve Campbell', 'Jamie Lee Curtis', 'Casey Affleck', 'William Fichtner', 'Marcus Thomas', 'Marcus Thomas', 'Peter Dobson']","['English']","2000/3/3"
2000,"/wiki/The_Next_Best_Thing","The_Next_Best_Thing","['Tom Rosenberg', 'Leslie Dixon', 'Linne Radmin', 'Gary Lucchesi']","['Paramount Pictures']","The Next Best Thing","['United States']","['John Schlesinger']","['Elliot Davis']","['Elliot Davis']","['Lakeshore Entertainment']","25000000","24362772","108","['Gabriel Yared']","['Tom Ropelewski']","['Rupert Everett', 'Madonna', 'Madonna', 'Benjamin Bratt', 'Michael Vartan', 'Josef Sommer', 'Lynn Redgrave']","['English']","2000/03/03"
2000,"/wiki/Mission_to_Mars","Mission_to_Mars","['Tom Jacobson']","['Walt Disney Studios Motion Pictures', 'Buena Vista Pictures']","Mission to Mars","['United States']","['Brian De Palma']","['Stephen H. Burum']","['Stephen H. Burum']","['Touchstone Pictures', 'Spyglass Entertainment']","100000000","111000000","114","['Ennio Morricone']","[]","['Gary Sinise', 'Don Cheadle', 'Connie Nielsen', ""Jerry O'Connell"", 'Kim Delaney', 'Tim Robbins']","['English']","2000/3/10"
